Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Data,1,monitoring,timestamp_16,"2456",s,heart_rate,"118",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"60|16|228|224",,,,,,,,,,,,,,,,,,,,,,,
Definition,7,monitoring,cycles,1,,active_time,1,,active_calories,1,,timestamp_16,1,,current_activity_type_intensity,1,,,,,,,,,,,
Data,7,monitoring,cycles,"0.0",cycles,active_time,"423.0",s,active_calories,"12",kcal,timestamp_16,"2456",s,current_activity_type_intensity,"160",,activity_type,"0",,intensity,"5.0",,,,,
Data,3,stress_level,stress_level_time,"975440340",s,stress_level_value,"-2",,unknown,"102",,,,,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"2516",s,heart_rate,"0",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"10|3|0|248",,,,,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp,"975440340",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,,,,
Data,3,stress_level,stress_level_time,"975440400",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"2576",s,heart_rate,"117",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"44|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Data,7,monitoring,cycles,"0.0",cycles,active_time,"468.0",s,active_calories,"13",kcal,timestamp_16,"2576",s,current_activity_type_intensity,"96",,activity_type,"0",,intensity,"3.0",,,,,
Data,3,stress_level,stress_level_time,"975440460",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,1,monitoring,timestamp_16,"2636",s,heart_rate,"0",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"10|1|0|248",,,,,,,,,,,,,,,,,,,,,,,
Data,3,stress_level,stress_level_time,"975440520",s,stress_level_value,"-1",,unknown,"101",,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"44|0|0|248",,,,,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp,"975440520",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,,,,
Data,0,ohr_settings,timestamp,"975440520",s,enabled,"1",,,,,,,,,,,,,,,,,,,,
Definition,0,monitoring,timestamp,1,,distance,1,,cycles,1,,active_time,1,,active_calories,1,,duration_min,1,,activity_type,1,,,,,
Data,0,monitoring,timestamp,"975440520",s,distance,"0.0",m,cycles,"0.0",cycles,active_time,"468.0",s,active_calories,"13",kcal,duration_min,"702",min,activity_type,"0",,,,,
Data,0,monitoring,timestamp,"975440520",s,distance,"553.47",m,steps,"736",steps,active_time,"460.0",s,active_calories,"17",kcal,duration_min,"702",min,activity_type,"6",,,,,
Definition,1,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,1,monitoring,timestamp,"975440520",s,unknown,"0",,unknown,"3523",,,,,,,,,,,,,,,,,
Definition,2,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp,"975440520",s,unknown,"0",,unknown,"0",,,,,,,,,,,,,,,,,
Definition,3,unknown,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"975440520",,unknown,"73",,unknown,"92",,,,,,,,,,,,,,,,,
Data,6,unknown,unknown,"187|10|36|58|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
