tem,label
28.236333333333306,1
28.236333333333306,2
28.18766666666668,3
28.192616666666694,4
28.237499999999965,5
28.295750000000005,6
28.35874999999996,7
28.43615000000001,8
28.640966666666657,9
28.772400000000008,10
29.07811666666664,11
29.24896666666667,12
29.34408333333333,13
29.522000000000034,14
29.63098333333333,15
29.84059999999999,16
29.84059999999999,17
29.98038333333334,18
30.09256666666668,19
30.149533333333306,20
30.149533333333306,21
30.217133333333372,22
30.3393666666667,23
30.39811666666667,24
30.45551666666667,25
30.504500000000004,26
30.550883333333363,27
30.60163333333333,28
30.65418333333339,29
30.7009,30
30.748650000000037,31
30.789349999999967,32
30.844900000000013,33
30.869216666666695,34
30.869216666666695,35
30.870633333333355,36
30.900249999999968,37
30.900249999999968,38
30.932350000000003,39
30.960383333333358,40
30.976900000000047,41
30.99455,42
30.99455,43
31.008033333333305,44
30.85806666666668,45
30.85806666666668,46
29.621466666666667,47
29.621466666666667,48
28.463,49
28.463,50
