eda,label
0.010092150000000005,1
0.010092150000000005,2
0.009395599999999995,3
0.009988858333333338,4
0.009988858333333338,5
0.010383133333333341,6
0.010200804166666669,7
0.026312091666666662,8
0.026312091666666662,9
0.0249773625,10
0.0249773625,11
0.020390149999999992,12
0.018176120833333326,13
0.018176120833333326,14
0.01458469999999999,15
0.0129595875,16
0.011293437500000005,17
0.011293437500000005,18
0.010732891666666659,19
0.010658149999999995,20
0.010658149999999995,21
0.01095075,22
0.010910341666666669,23
0.010910341666666669,24
0.010805212500000005,25
0.01148256666666667,26
0.01148256666666667,27
0.011732112970711306,28
0.011014838174273857,29
0.011014838174273857,30
0.010235405857740576,31
0.01117066386554622,32
0.01117066386554622,33
0.010961786610878651,34
0.010961786610878651,35
0.011081305785123969,36
0.011081305785123969,37
0.011871755186721991,38
0.010500190871369296,39
0.010500190871369296,40
0.011855587499999995,41
0.01204682845188285,42
0.009376379166666666,43
0.009376379166666666,44
0.0896897333333333,45
0.0896897333333333,46
0.0016324522821576756,47
0.0016324522821576756,48
0.0011452041666666667,49
0.0011452041666666667,50
