tem,label
31.458800000000032,1
31.454366666666697,2
31.461466666666695,3
31.50133333333333,4
31.50133333333333,5
31.515633333333334,6
31.515633333333334,7
31.542499999999965,8
31.560699999999965,9
31.569816666666647,10
31.569816666666647,11
31.601049999999994,12
31.629733333333355,13
31.640133333333345,14
31.640133333333345,15
31.649233333333324,16
31.664399999999965,17
31.664399999999965,18
31.670033333333308,19
31.67826666666665,20
31.68606666666665,21
31.69516666666665,22
31.70093220338984,23
31.70903333333335,24
31.70903333333335,25
31.69689999999999,26
31.701098360655745,27
31.701098360655745,28
31.70340000000001,29
31.70340000000001,30
31.695599999999995,31
31.68110169491523,32
31.68649999999998,33
31.713800000000006,34
31.713800000000006,35
31.74336065573766,36
31.72983333333335,37
31.72983333333335,38
31.70383333333334,39
31.6548666666667,40
31.6548666666667,41
31.62015,42
31.594816666666645,43
31.561999999999966,44
31.53686666666667,45
31.53686666666667,46
31.50783333333332,47
31.50783333333332,48
31.47836666666668,49
31.47836666666668,50
