eda,label
0.04398743749999997,1
0.04118221666666666,2
0.04523475833333337,3
0.048792612500000034,4
0.05221758750000003,5
0.050481779166666636,6
0.04185564583333334,7
0.042185258333333336,8
0.04193504166666665,9
0.04118755000000003,10
0.033741487500000014,11
0.031539450000000004,12
0.0335577625,13
0.035712458333333336,14
0.03501112499999999,15
0.0346875,16
0.03805140416666666,17
0.03697172499999998,18
0.03562116666666666,19
0.03146499583333333,20
0.0021890250000000003,21
0.00363,22
0.002801720833333334,23
0.003315766666666667,24
0.003693879166666664,25
0.0026292083333333345,26
0.0027790999999999988,27
0.0018876874999999996,28
0.002818929166666667,29
0.0024208125,30
0.003297570833333332,31
0.0037043625000000024,32
0.0028588583333333324,33
0.0021861999999999997,34
0.0012875333333333342,35
0.001477395833333333,36
0.0022913624999999988,37
0.0016771541666666676,38
0.0008811750000000002,39
0.0009263166666666666,40
0.02374053749999998,41
0.038496758333333325,42
0.06787034166666668,43
0.0908503458333334,44
0.11748284583333335,45
0.16481703750000004,46
0.21919779583333332,47
0.2414642250000001,48
0.2414642250000001,49
0.27288221338912144,50
