tem,label
29.08218333333334,1
29.26931666666668,2
29.61143333333334,3
29.749066666666693,4
29.883816666666693,5
30.009066666666694,6
30.206216666666695,7
30.291100000000014,8
30.395433333333344,9
30.48678333333333,10
30.565499999999982,11
30.634816666666698,12
30.699649999999995,13
30.88863333333332,14
30.88863333333332,15
30.934550000000005,16
30.997766666666642,17
31.06673333333332,18
31.137650000000026,19
31.137650000000026,20
31.2038,21
31.263633333333306,22
31.263633333333306,23
31.362533333333307,24
31.38766666666665,25
31.38766666666665,26
31.40673333333332,27
31.426766666666694,28
31.45653333333335,29
31.47360000000001,30
31.489199999999986,31
31.489199999999986,32
31.516933333333345,33
31.547266666666626,34
31.581499999999984,35
31.592949999999984,36
31.602,37
31.61971666666667,38
31.616666666666678,39
31.616250000000008,40
31.61045,41
31.60465,42
31.591666666666647,43
31.572399999999963,44
31.554633333333317,45
31.547699999999992,46
31.547699999999992,47
31.5308,48
31.481283333333355,49
31.15306666666667,50
