eda,label
0.07544996250000002,1
0.07626851882845186,2
0.07608323949579836,3
0.0754708583333333,4
0.07704485477178427,5
0.0787550165289256,6
0.07627179166666664,7
0.07521350000000003,8
0.07530269166666663,9
0.0765558458333333,10
0.07712054166666668,11
0.07837719583333329,12
0.07895947916666668,13
0.07783167083333332,14
0.07700115833333328,15
0.07719622916666666,16
0.07699201249999996,17
0.07744831250000002,18
0.07757709583333336,19
0.07832774476987442,20
0.08029696666666668,21
0.08023375000000002,22
0.08092532916666667,23
0.079655867219917,24
0.08039190416666668,25
0.08010298749999999,26
0.0809156166666667,27
0.08244575833333329,28
0.08355967083333332,29
0.08364868333333329,30
0.08250056666666666,31
0.08309300416666661,32
0.08419677916666661,33
0.08418142083333334,34
0.08409116250000001,35
0.08376303333333329,36
0.08397107500000002,37
0.08356384583333333,38
0.08133342083333334,39
0.07586145000000004,40
0.07617860416666662,41
0.07617860416666662,42
0.07672636666666666,43
0.07672636666666666,44
0.0010515791666666668,45
0.2517963833333333,46
0.4085540416666671,47
0.02092548333333335,48
0.005221966666666665,49
0.005221966666666665,50
