temp,label
29.510800000000003,1
29.487399999999987,2
29.452183333333288,3
29.413250000000016,4
29.395250000000022,5
29.388050000000014,6
29.37455,7
29.36431666666665,8
29.36253333333332,9
29.393000000000026,10
29.3786,11
29.295299999999994,12
29.295299999999994,13
28.373266666666673,14
28.373266666666673,15
27.28061666666667,16
25.33736666666666,17
25.33736666666666,18
24.520216666666666,19
23.776316666666666,20
23.01753333333333,21
22.804849999999984,22
22.49555000000001,23
22.49555000000001,24
22.380016666666673,25
22.69978333333335,26
23.078033333333316,27
23.078033333333316,28
23.22730000000001,29
23.70486666666668,30
24.148249999999987,31
24.148249999999987,32
23.526316666666695,33
23.526316666666695,34
23.201203389830514,35
23.201203389830514,36
22.970278688524605,37
23.069333333333308,38
23.069333333333308,39
23.8794,40
24.070049999999966,41
24.070049999999966,42
23.877099999999995,43
23.61528333333336,44
23.61528333333336,45
23.356633333333317,46
23.356633333333317,47
22.935416666666693,48
22.935416666666693,49
22.935416666666693,50
