tem,label
29.227950000000003,1
29.37890000000001,2
29.50060000000002,3
29.5955,4
29.66378333333332,5
29.76520000000001,6
29.866350000000025,7
29.94686666666665,8
29.99180000000001,9
29.99180000000001,10
29.99900000000001,11
30.023650000000032,12
30.023650000000032,13
30.06344999999999,14
30.10230000000001,15
30.13321666666668,16
30.17086666666664,17
30.17436666666665,18
30.18216666666665,19
30.213000000000022,20
30.213000000000022,21
30.242350000000034,22
30.25246666666667,23
30.414383333333348,24
30.46121666666668,25
30.507599999999968,26
30.480799999999967,27
30.480799999999967,28
30.413183333333322,29
30.474649999999986,30
30.533833333333348,31
30.51318333333333,32
30.520383333333346,33
30.57203333333332,34
30.571116666666704,35
30.55085000000002,36
30.529350000000008,37
30.51675,38
30.531566666666684,39
30.556066666666702,40
30.57831666666665,41
30.58593333333332,42
30.58593333333332,43
30.60386666666665,44
30.602999999999966,45
30.602999999999966,46
30.44030000000001,47
29.29888333333333,48
27.026616666666666,49
27.026616666666666,50
