temp,label
29.03541666666667,1
28.959600000000034,2
28.90244999999999,3
28.845299999999966,4
28.794000000000025,5
28.73953333333333,6
28.69154999999996,7
28.652150000000024,8
28.652150000000024,9
28.56214999999998,10
28.544149999999966,11
28.501400000000032,12
28.462250000000004,13
28.40194999999998,14
28.40194999999998,15
28.359200000000005,16
28.359200000000005,17
28.338050000000013,18
28.324550000000023,19
28.322750000000013,20
28.322750000000013,21
28.316900000000015,22
28.323650000000008,23
28.315550000000016,24
28.29935,25
28.255233333333287,26
28.199966666666693,27
28.15750000000001,28
28.12871666666664,29
28.088199999999965,30
28.05805000000002,31
28.01395000000001,32
27.986249999999984,33
27.96036666666664,34
27.96036666666664,35
27.930150000000033,36
27.894100000000034,37
27.827716666666664,38
27.74195000000002,39
27.74195000000002,40
27.661083333333345,41
27.55776666666665,42
25.666350000000016,43
23.662666666666667,44
23.662666666666667,45
24.56705000000002,46
25.072516666666694,47
25.072516666666694,48
24.671233333333344,49
24.671233333333344,50
