timestamp_16,heart_rate
2020-12-09 10:56:00,62
2020-12-09 10:57:00,74
2020-12-09 10:58:00,78
2020-12-09 10:59:00,84
2020-12-09 11:00:00,85
2020-12-09 11:01:00,81
2020-12-09 11:02:00,80
2020-12-09 11:03:00,79
2020-12-09 11:04:00,78
2020-12-09 11:07:00,77
2020-12-09 11:09:00,79
2020-12-09 11:10:00,81
2020-12-09 11:12:00,82
2020-12-09 11:13:00,81
2020-12-09 11:15:00,78
2020-12-09 11:16:00,72
2020-12-09 11:17:00,79
2020-12-09 11:18:00,83
2020-12-09 11:19:00,81
2020-12-09 11:20:00,79
2020-12-09 11:21:00,78
2020-12-09 11:22:00,80
2020-12-09 11:23:00,82
2020-12-09 11:24:00,81
2020-12-09 11:25:00,82
2020-12-09 11:26:00,84
2020-12-09 11:27:00,83
2020-12-09 11:28:00,80
2020-12-09 11:29:00,83
2020-12-09 11:30:00,79
2020-12-09 11:31:00,77
2020-12-09 11:32:00,75
2020-12-09 11:33:00,70
2020-12-09 11:34:00,69
2020-12-09 11:35:00,73
2020-12-09 11:36:00,74
2020-12-09 11:38:00,75
2020-12-09 11:40:00,76
2020-12-09 11:41:00,83
2020-12-09 11:42:00,82
2020-12-09 11:43:00,85
2020-12-09 11:44:00,86
2020-12-09 11:45:00,89
2020-12-09 11:46:00,93
2020-12-09 11:47:00,86
2020-12-09 11:48:00,80
2020-12-09 11:49:00,90
2020-12-09 11:50:00,83
2020-12-09 11:51:00,84
2020-12-09 11:54:00,83
2020-12-09 11:55:00,85
2020-12-09 11:56:00,89
2020-12-09 11:57:00,94
2020-12-09 11:58:00,91
2020-12-09 11:59:00,88
2020-12-09 12:00:00,87
2020-12-09 12:01:00,81
2020-12-09 12:02:00,82
2020-12-09 12:03:00,83
2020-12-09 12:04:00,90
2020-12-09 12:05:00,0
2020-12-09 12:21:00,0
2020-12-09 12:31:00,110
2020-12-09 12:32:00,114
2020-12-09 12:33:00,85
2020-12-09 12:34:00,75
2020-12-09 12:37:00,94
2020-12-09 12:38:00,88
