time,temp
2020-12-09 10:56:00,27.504599999999993
2020-12-09 10:57:00,27.634716666666673
2020-12-09 10:58:00,27.66020000000002
2020-12-09 10:59:00,27.67190000000002
2020-12-09 11:00:00,27.655250000000013
2020-12-09 11:01:00,27.655250000000017
2020-12-09 11:02:00,27.64265
2020-12-09 11:03:00,27.632633333333327
2020-12-09 11:04:00,27.612633333333314
2020-12-09 11:05:00,27.58756666666664
2020-12-09 11:06:00,27.546633333333336
2020-12-09 11:07:00,27.589350000000007
2020-12-09 11:08:00,27.722733333333302
2020-12-09 11:09:00,27.820466666666686
2020-12-09 11:10:00,27.91301666666668
2020-12-09 11:11:00,27.916200000000007
2020-12-09 11:12:00,27.91665000000003
2020-12-09 11:13:00,27.936449999999983
2020-12-09 11:14:00,27.974666666666653
2020-12-09 11:15:00,27.989783333333335
2020-12-09 11:16:00,28.075149999999983
2020-12-09 11:17:00,28.191983333333322
2020-12-09 11:18:00,28.29704999999998
2020-12-09 11:19:00,28.511299999999995
2020-12-09 11:20:00,28.76935
2020-12-09 11:21:00,29.11831666666666
2020-12-09 11:22:00,29.281016666666666
2020-12-09 11:23:00,29.508566666666663
2020-12-09 11:24:00,29.70544999999999
2020-12-09 11:25:00,29.74736666666668
2020-12-09 11:26:00,29.75356666666668
2020-12-09 11:27:00,29.78913333333333
2020-12-09 11:28:00,29.90788333333335
2020-12-09 11:29:00,30.00470000000003
2020-12-09 11:30:00,30.078516666666683
2020-12-09 11:31:00,30.177733333333332
2020-12-09 11:32:00,30.21035000000002
2020-12-09 11:33:00,30.258366666666646
2020-12-09 11:34:00,30.28364999999999
2020-12-09 11:35:00,30.276033333333324
2020-12-09 11:36:00,30.256833333333375
2020-12-09 11:37:00,30.22760000000003
2020-12-09 11:38:00,30.18514999999997
2020-12-09 11:39:00,30.16248333333331
2020-12-09 11:40:00,30.2339
2020-12-09 11:41:00,30.295083333333363
2020-12-09 11:42:00,30.405533333333345
2020-12-09 11:43:00,30.50805000000003
2020-12-09 11:44:00,30.569449999999975
2020-12-09 11:45:00,30.575166666666707
2020-12-09 11:46:00,30.506700000000006
2020-12-09 11:47:00,30.357416666666673
2020-12-09 11:48:00,30.228116666666665
2020-12-09 11:49:00,30.10889999999999
2020-12-09 11:50:00,29.959816666666697
2020-12-09 11:51:00,29.802183333333353
2020-12-09 11:52:00,29.675566666666683
2020-12-09 11:53:00,29.55591666666668
2020-12-09 11:54:00,29.508550000000007
2020-12-09 11:55:00,29.448416666666674
2020-12-09 11:56:00,29.37553333333333
2020-12-09 11:57:00,29.310316666666687
2020-12-09 11:58:00,29.225316666666647
2020-12-09 11:59:00,29.12184999999997
2020-12-09 12:00:00,29.031433333333332
2020-12-09 12:01:00,28.964516666666672
2020-12-09 12:02:00,28.218516666666662
2020-12-09 12:03:00,27.532683333333328
2020-12-09 12:04:00,26.987633333333317
2020-12-09 12:05:00,26.536683333333347
2020-12-09 12:06:00,26.13301666666665
2020-12-09 12:07:00,25.784199999999995
2020-12-09 12:08:00,25.438066666666664
2020-12-09 12:09:00,25.12203333333336
2020-12-09 12:10:00,24.85295000000003
2020-12-09 12:11:00,24.592333333333347
2020-12-09 12:12:00,24.346316666666652
2020-12-09 12:13:00,24.12124999999997
2020-12-09 12:14:00,23.897216666666647
2020-12-09 12:15:00,23.692516666666684
2020-12-09 12:16:00,23.522933333333363
2020-12-09 12:17:00,23.38148333333332
2020-12-09 12:18:00,23.218233333333323
2020-12-09 12:19:00,23.07511666666664
2020-12-09 12:20:00,22.936450000000015
2020-12-09 12:21:00,22.80099999999998
2020-12-09 12:22:00,22.673566666666655
2020-12-09 12:23:00,22.558250000000033
2020-12-09 12:24:00,22.44796666666665
2020-12-09 12:25:00,22.344933333333323
2020-12-09 12:26:00,22.240566666666698
2020-12-09 12:27:00,22.157500000000017
2020-12-09 12:28:00,22.65523333333334
2020-12-09 12:29:00,25.590350000000026
2020-12-09 12:30:00,26.08940000000002
2020-12-09 12:31:00,26.359283333333348
2020-12-09 12:32:00,26.63861666666669
2020-12-09 12:33:00,26.827233333333325
2020-12-09 12:34:00,26.97894999999998
2020-12-09 12:35:00,27.121950000000034
2020-12-09 12:36:00,27.152566666666658
2020-12-09 12:37:00,27.22824999999998
2020-12-09 12:38:00,27.295733333333363
