timestamp_16,heart_rate
2020-12-13 12:37:00,79.0
2020-12-13 12:38:00,65.0
2020-12-13 12:39:00,55.0
2020-12-13 12:40:00,59.0
2020-12-13 12:42:00,62.0
2020-12-13 12:43:00,58.0
2020-12-13 12:44:00,57.0
2020-12-13 12:45:00,59.0
2020-12-13 12:47:00,63.0
2020-12-13 12:48:00,60.0
2020-12-13 12:49:00,58.0
2020-12-13 12:50:00,62.0
2020-12-13 12:51:00,65.0
2020-12-13 12:52:00,64.0
2020-12-13 12:53:00,65.0
2020-12-13 12:54:00,62.0
2020-12-13 12:55:00,66.0
2020-12-13 12:56:00,68.0
2020-12-13 12:57:00,62.0
2020-12-13 12:58:00,57.0
2020-12-13 12:59:00,58.0
2020-12-13 13:00:00,54.0
2020-12-13 13:01:00,53.0
2020-12-13 13:02:00,54.0
2020-12-13 13:03:00,53.0
2020-12-13 13:04:00,59.0
2020-12-13 13:05:00,56.0
2020-12-13 13:07:00,60.0
2020-12-13 13:08:00,62.0
2020-12-13 13:09:00,53.0
2020-12-13 13:10:00,55.0
2020-12-13 13:11:00,68.0
2020-12-13 13:12:00,66.0
2020-12-13 13:13:00,63.0
2020-12-13 13:14:00,55.0
2020-12-13 13:15:00,61.0
2020-12-13 13:16:00,60.0
2020-12-13 13:17:00,62.0
2020-12-13 13:18:00,55.0
2020-12-13 13:19:00,66.0
2020-12-13 13:20:00,70.0
2020-12-13 13:21:00,59.0
2020-12-13 13:22:00,54.0
2020-12-13 13:23:00,52.0
2020-12-13 13:25:00,62.0
2020-12-13 13:26:00,68.0
2020-12-13 13:27:00,72.0
2020-12-13 13:29:00,63.0
2020-12-13 13:30:00,64.0
2020-12-13 13:31:00,66.0
2020-12-13 13:33:00,59.0
2020-12-13 13:34:00,57.0
2020-12-13 13:35:00,58.0
2020-12-13 13:36:00,0.0
