stress_level_value,label
-1.0,1
30.0,2
30.0,3
36.0,4
36.0,5
37.0,6
36.0,7
27.0,8
25.0,9
34.0,10
31.0,11
41.0,12
45.0,13
41.0,14
15.0,15
-1.0,16
28.0,17
-1.0,18
37.0,19
42.0,20
-1.0,21
-1.0,22
-1.0,23
33.0,24
-1.0,25
-1.0,26
-1.0,27
24.0,28
27.0,29
33.0,30
25.0,31
24.0,32
-1.0,33
-1.0,34
26.0,35
-1.0,36
24.0,37
17.0,38
-1.0,39
-1.0,40
24.0,41
24.0,42
24.0,43
24.0,44
23.0,45
24.0,46
22.0,47
-1.0,48
-1.0,49
-1.0,50
