stress_level_value,label
23.0,1
21.0,2
21.0,3
24.0,4
22.0,5
23.0,6
24.0,7
24.0,8
24.0,9
22.0,10
23.0,11
24.0,12
-1.0,13
18.0,14
24.0,15
10.0,16
24.0,17
23.0,18
14.0,19
10.0,20
23.0,21
17.0,22
24.0,23
20.0,24
20.0,25
19.0,26
17.0,27
25.0,28
23.0,29
22.0,30
24.0,31
24.0,32
24.0,33
19.0,34
24.0,35
24.0,36
23.0,37
19.0,38
19.0,39
23.0,40
23.0,41
16.0,42
17.0,43
21.0,44
15.0,45
21.0,46
22.0,47
17.0,48
17.0,49
15.0,50
