stress_level_value,label
24.0,1
-1.0,2
-1.0,3
-1.0,4
25.0,5
30.0,6
24.0,7
24.0,8
-1.0,9
23.0,10
-1.0,11
-1.0,12
29.0,13
29.0,14
25.0,15
25.0,16
24.0,17
24.0,18
24.0,19
24.0,20
24.0,21
24.0,22
24.0,23
25.0,24
25.0,25
24.0,26
24.0,27
24.0,28
24.0,29
25.0,30
25.0,31
19.0,32
19.0,33
19.0,34
20.0,35
20.0,36
24.0,37
25.0,38
25.0,39
24.0,40
24.0,41
24.0,42
24.0,43
24.0,44
24.0,45
23.0,46
23.0,47
24.0,48
24.0,49
24.0,50
