stress_level_value,label
0.0,1
0.0,2
3.0,3
33.0,4
31.0,5
-1.0,6
-1.0,7
-1.0,8
-1.0,9
21.0,10
-1.0,11
-1.0,12
7.0,13
7.0,14
-1.0,15
15.0,16
21.0,17
17.0,18
12.0,19
12.0,20
12.0,21
10.0,22
11.0,23
7.0,24
10.0,25
10.0,26
6.0,27
14.0,28
14.0,29
11.0,30
14.0,31
13.0,32
8.0,33
8.0,34
10.0,35
18.0,36
18.0,37
6.0,38
6.0,39
19.0,40
5.0,41
10.0,42
9.0,43
15.0,44
6.0,45
-2.0,46
-2.0,47
-2.0,48
78.0,49
78.0,50
