heart_rate,label
74,1
73,2
78,3
74,4
73,5
76,6
74,7
75,8
73,9
74,10
75,11
74,12
74,13
73,14
71,15
70,16
72,17
72,18
71,19
71,20
70,21
71,22
73,23
70,24
69,25
66,26
68,27
67,28
69,29
68,30
68,31
68,32
68,33
67,34
66,35
69,36
66,37
74,38
69,39
66,40
68,41
65,42
68,43
69,44
69,45
63,46
65,47
67,48
68,49
68,50
