heart_rate,label
80,1
80,2
80,3
79,4
78,5
77,6
77,7
77,8
76,9
76,10
75,11
75,12
74,13
74,14
75,15
74,16
74,17
74,18
74,19
74,20
74,21
74,22
74,23
73,24
73,25
73,26
73,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
76,36
75,37
75,38
73,39
73,40
73,41
72,42
72,43
72,44
72,45
79,46
80,47
70,48
69,49
68,50
