building_ID,heart_rate,stress_level_value,eda,temp,Theta,Alpha,BetaL,BetaH,Gamma,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
1,78,23,0.0300198458333333,31.2609999999999,2.36198333694683,1.26288942560142,0.717080409117909,0.42754573269973206,0.30318493094743,0,0,0,0,1,-2,1,0,1,1,1,1,1,0,-1
2,76,21,0.0323434458333333,31.259266666666605,4.89241525,1.7909903052083302,0.68792235282738,0.49670470729166605,0.39558386547619,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-2,-2
3,80,21,0.0327143941908713,31.2367333333333,2.9283690846726205,1.5034655642857098,0.632722680654761,0.471802752529762,0.393025351041666,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
4,76,24,0.0328493124999999,31.091433333333303,2.90417855684523,1.8838926845238,0.855476493154762,0.623429507142857,0.5587913650297621,-1,1,0,1,1,0,0,1,1,1,0,1,1,1,0
5,76,22,0.0331795916666666,31.038566666666604,2.71374776190476,1.1839500534226102,0.685589898214286,0.586384676934523,0.49603349464285706,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-1,-2,-2
6,77,23,0.0344748625,30.9936833333333,3.1287364086309504,1.62858361294642,0.9928459982142851,0.741010260267857,0.722856735863095,1,1,1,0,0,1,1,1,1,1,-1,0,-1,1,0
7,79,24,0.0362009291666666,30.939766666666603,2.0656137049107097,1.1070961099702301,0.45889374657738,0.40862875967261897,0.37368232276785707,0,-1,0,1,1,0,0,2,2,2,2,1,1,1,1
8,77,24,0.0364648958333333,30.930033333333302,3.80498954128304,1.70044224443124,0.734539797148797,0.6003374906444899,0.48596991015741,1,-1,0,2,2,0,0,0,0,0,1,2,1,1,0
9,79,24,0.0372350624999999,30.9950833333333,2.5436137525297595,1.41181036800595,0.6208711279761899,0.484760861607142,0.44528086413690393,1,1,1,2,2,2,2,2,2,2,2,2,0,2,2
10,78,22,0.0382669875,31.0455,2.11969375223214,1.19835726443452,0.5410134745535711,0.468649658184523,0.431259755505952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
11,78,23,0.0381694375,31.0883999999999,2.66175458122958,1.7314946131571103,0.906845009504009,0.6719904986634979,0.681905502227502,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
12,79,24,0.0397537375,31.149333333333303,6.032614038839281,3.13337674880952,1.6237529892857099,1.23719588675595,1.80749138065476,1,0,0,1,1,0,2,2,2,2,1,2,1,1,1
13,84,1,0.0404098541666666,31.164116666666605,2.4141613278883196,1.26537669884169,0.6635911242946241,0.621292709088209,0.696051098307098,0,0,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0
14,77,18,0.0426589833333333,31.181266666666602,2.56390353005952,1.87333590059523,0.9253254723214279,0.791101115327381,0.969481294494047,1,0,1,2,2,1,2,2,2,2,1,2,2,2,1
15,79,24,0.0442065125,31.1668,2.19941617574404,1.42530489285714,0.7393175808035709,0.52463306532738,0.47134399791666604,1,0,0,1,1,1,1,0,0,0,2,1,0,1,0
16,76,10,0.0473367416666666,31.1751499999999,5.30797505446428,2.68680362708333,1.23842129241071,0.820136848363095,0.7425371001488091,0,0,0,1,1,1,0,1,2,1,1,1,1,1,0
17,77,24,0.0468357166666666,31.1899333333333,3.0840257597267597,1.70097971591921,0.8506497426492421,0.7573521150876149,0.790559042174042,1,1,1,0,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,84,23,0.0480663916666666,31.17345,2.6412621686011897,1.7696182190476102,1.23757558943452,0.773396914136904,0.8128106202380949,1,0,0,1,2,2,2,2,2,2,2,1,1,1,1
19,75,14,0.0476081791666666,31.174316666666602,4.18021527797619,2.00015802380952,1.10013408556547,0.853907047619047,0.8107371302083329,0,0,0,-2,-2,-1,1,-1,-1,-1,-1,-2,-1,-1,-1
20,74,10,0.0497023875,31.1816999999999,3.54026247693452,1.98557106517857,0.9086160825892851,0.662409473363095,0.566824545386904,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0
21,75,23,0.05019285,31.2077,3.02599096926046,1.64846196064746,0.892198227650727,0.6393729720819721,0.605833527621027,-1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
