stress_level_time,stress_level_value
2020-11-24 10:30:00,-1.0
2020-11-24 10:31:00,-1.0
2020-11-24 10:32:00,-1.0
2020-11-24 10:33:00,-1.0
2020-11-24 10:34:00,-1.0
2020-11-24 10:35:00,-1.0
2020-11-24 10:36:00,-1.0
2020-11-24 10:37:00,-1.0
2020-11-24 10:38:00,-1.0
2020-11-24 10:39:00,-1.0
2020-11-24 10:40:00,-1.0
2020-11-24 10:41:00,-1.0
2020-11-24 10:42:00,-1.0
2020-11-24 10:43:00,-1.0
2020-11-24 10:44:00,-1.0
2020-11-24 10:45:00,-1.0
2020-11-24 10:46:00,-1.0
2020-11-24 10:47:00,-1.0
2020-11-24 10:48:00,-1.0
2020-11-24 10:49:00,-1.0
2020-11-24 10:50:00,-1.0
2020-11-24 10:51:00,-1.0
2020-11-24 10:52:00,-1.0
2020-11-24 10:53:00,-1.0
2020-11-24 10:54:00,-1.0
2020-11-24 10:55:00,-1.0
2020-11-24 10:56:00,-1.0
2020-11-24 10:57:00,-1.0
2020-11-24 10:58:00,-1.0
2020-11-24 10:59:00,-1.0
2020-11-24 11:00:00,-1.0
2020-11-24 11:01:00,-2.0
2020-11-24 11:02:00,35.0
2020-11-24 11:03:00,0.0
2020-11-24 11:05:00,0.0
2020-11-24 11:06:00,2.0
2020-11-24 11:07:00,13.0
2020-11-24 11:08:00,24.0
2020-11-24 11:09:00,20.0
2020-11-24 11:10:00,19.0
2020-11-24 11:11:00,13.0
2020-11-24 11:12:00,8.0
2020-11-24 11:13:00,16.0
2020-11-24 11:14:00,1.0
2020-11-24 11:15:00,0.0
2020-11-24 11:16:00,0.0
2020-11-24 11:17:00,0.0
2020-11-24 11:18:00,0.0
2020-11-24 11:19:00,13.0
2020-11-24 11:20:00,23.0
2020-11-24 11:21:00,18.0
2020-11-24 11:22:00,17.0
2020-11-24 11:23:00,13.0
2020-11-24 11:24:00,17.0
2020-11-24 11:25:00,1.0
2020-11-24 11:26:00,14.0
2020-11-24 11:27:00,22.0
2020-11-24 11:28:00,6.0
2020-11-24 11:29:00,22.0
2020-11-24 11:30:00,7.0
2020-11-24 11:31:00,0.0
2020-11-24 11:32:00,4.0
2020-11-24 11:33:00,2.0
2020-11-24 11:34:00,13.0
2020-11-24 11:35:00,10.0
2020-11-24 11:36:00,0.0
2020-11-24 11:37:00,1.0
2020-11-24 11:38:00,0.0
2020-11-24 11:39:00,0.0
2020-11-24 11:40:00,0.0
2020-11-24 11:41:00,0.0
2020-11-24 11:42:00,1.0
2020-11-24 11:43:00,16.0
2020-11-24 11:44:00,19.0
2020-11-24 11:45:00,1.0
2020-11-24 11:46:00,1.0
2020-11-24 11:47:00,0.0
2020-11-24 11:48:00,0.0
2020-11-24 11:49:00,0.0
2020-11-24 11:50:00,0.0
2020-11-24 11:51:00,0.0
2020-11-24 11:52:00,1.0
2020-11-24 11:53:00,-2.0
2020-11-24 11:54:00,-2.0
2020-11-24 11:55:00,-2.0
