stress_level_time,stress_level_value
2020-12-11 16:22:00,-1.0
2020-12-11 16:23:00,-1.0
2020-12-11 16:24:00,4.0
2020-12-11 16:25:00,12.0
2020-12-11 16:26:00,4.0
2020-12-11 16:27:00,21.0
2020-12-11 16:28:00,20.0
2020-12-11 16:29:00,23.0
2020-12-11 16:30:00,20.0
2020-12-11 16:31:00,24.0
2020-12-11 16:32:00,21.0
2020-12-11 16:33:00,21.0
2020-12-11 16:34:00,22.0
2020-12-11 16:35:00,21.0
2020-12-11 16:36:00,20.0
2020-12-11 16:37:00,23.0
2020-12-11 16:38:00,23.0
2020-12-11 16:39:00,22.0
2020-12-11 16:40:00,18.0
2020-12-11 16:41:00,22.0
2020-12-11 16:42:00,22.0
2020-12-11 16:43:00,20.0
2020-12-11 16:44:00,21.0
2020-12-11 16:45:00,25.0
2020-12-11 16:46:00,19.0
2020-12-11 16:47:00,24.0
2020-12-11 16:48:00,9.0
2020-12-11 16:49:00,10.0
2020-12-11 16:50:00,-1.0
2020-12-11 16:51:00,22.0
2020-12-11 16:52:00,23.0
2020-12-11 16:53:00,21.0
2020-12-11 16:54:00,22.0
2020-12-11 16:55:00,21.0
2020-12-11 16:56:00,15.0
2020-12-11 16:57:00,9.0
2020-12-11 16:58:00,12.0
2020-12-11 16:59:00,10.0
2020-12-11 17:00:00,-1.0
2020-12-11 17:01:00,17.0
2020-12-11 17:02:00,11.0
2020-12-11 17:03:00,20.0
2020-12-11 17:04:00,-1.0
2020-12-11 17:05:00,23.0
2020-12-11 17:06:00,21.0
2020-12-11 17:07:00,24.0
2020-12-11 17:08:00,24.0
2020-12-11 17:09:00,18.0
2020-12-11 17:10:00,17.0
2020-12-11 17:11:00,14.0
2020-12-11 17:12:00,14.0
2020-12-11 17:13:00,-1.0
2020-12-11 17:14:00,-1.0
2020-12-11 17:15:00,-1.0
2020-12-11 17:16:00,-1.0
2020-12-11 17:17:00,-1.0
2020-12-11 17:18:00,-1.0
