stress_level_time,stress_level_value
2020-11-26 10:30:00,-1.0
2020-11-26 10:31:00,-1.0
2020-11-26 10:32:00,-1.0
2020-11-26 10:33:00,-1.0
2020-11-26 10:34:00,-1.0
2020-11-26 10:35:00,-1.0
2020-11-26 10:36:00,-1.0
2020-11-26 10:37:00,-1.0
2020-11-26 10:38:00,-1.0
2020-11-26 10:39:00,-1.0
2020-11-26 10:40:00,-2.0
2020-11-26 10:41:00,36.0
2020-11-26 10:42:00,51.0
2020-11-26 10:44:00,38.0
2020-11-26 10:45:00,-1.0
2020-11-26 10:46:00,-1.0
2020-11-26 10:47:00,-1.0
2020-11-26 10:48:00,-1.0
2020-11-26 10:49:00,24.0
2020-11-26 10:50:00,24.0
2020-11-26 10:51:00,21.0
2020-11-26 10:52:00,-1.0
2020-11-26 10:53:00,-1.0
2020-11-26 10:54:00,-1.0
2020-11-26 10:55:00,36.0
2020-11-26 10:56:00,-1.0
2020-11-26 10:57:00,34.0
2020-11-26 10:58:00,30.0
2020-11-26 10:59:00,30.0
2020-11-26 11:00:00,36.0
2020-11-26 11:01:00,36.0
2020-11-26 11:02:00,37.0
2020-11-26 11:03:00,36.0
2020-11-26 11:04:00,27.0
2020-11-26 11:05:00,25.0
2020-11-26 11:06:00,34.0
2020-11-26 11:07:00,25.0
2020-11-26 11:08:00,31.0
2020-11-26 11:09:00,41.0
2020-11-26 11:10:00,45.0
2020-11-26 11:11:00,41.0
2020-11-26 11:12:00,15.0
2020-11-26 11:13:00,-1.0
2020-11-26 11:14:00,28.0
2020-11-26 11:15:00,-1.0
2020-11-26 11:16:00,37.0
2020-11-26 11:17:00,42.0
2020-11-26 11:18:00,-1.0
2020-11-26 11:19:00,-1.0
2020-11-26 11:20:00,-1.0
2020-11-26 11:21:00,33.0
2020-11-26 11:22:00,-1.0
2020-11-26 11:23:00,-1.0
2020-11-26 11:24:00,-1.0
2020-11-26 11:25:00,24.0
2020-11-26 11:26:00,27.0
2020-11-26 11:27:00,33.0
2020-11-26 11:28:00,25.0
2020-11-26 11:29:00,24.0
2020-11-26 11:30:00,-1.0
2020-11-26 11:31:00,-1.0
2020-11-26 11:32:00,26.0
2020-11-26 11:33:00,-1.0
2020-11-26 11:34:00,24.0
2020-11-26 11:35:00,17.0
2020-11-26 11:36:00,-1.0
2020-11-26 11:37:00,-1.0
2020-11-26 11:38:00,24.0
2020-11-26 11:39:00,-1.0
2020-11-26 11:40:00,24.0
2020-11-26 11:41:00,23.0
2020-11-26 11:42:00,24.0
2020-11-26 11:43:00,22.0
2020-11-26 11:44:00,-1.0
2020-11-26 11:45:00,-1.0
2020-11-26 11:46:00,63.0
2020-11-26 11:47:00,-1.0
2020-11-26 11:48:00,-1.0
2020-11-26 11:49:00,-1.0
2020-11-26 11:50:00,-1.0
2020-11-26 11:51:00,-1.0
2020-11-26 11:52:00,-1.0
