stress_level_time,stress_level_value
2020-12-15 17:21:00,-1.0
2020-12-15 17:22:00,-1.0
2020-12-15 17:23:00,-1.0
2020-12-15 17:24:00,-1.0
2020-12-15 17:25:00,-1.0
2020-12-15 17:26:00,25.0
2020-12-15 17:27:00,18.0
2020-12-15 17:28:00,-1.0
2020-12-15 17:29:00,27.0
2020-12-15 17:30:00,24.0
2020-12-15 17:31:00,23.0
2020-12-15 17:32:00,23.0
2020-12-15 17:33:00,24.0
2020-12-15 17:34:00,20.0
2020-12-15 17:35:00,23.0
2020-12-15 17:36:00,19.0
2020-12-15 17:37:00,24.0
2020-12-15 17:38:00,24.0
2020-12-15 17:39:00,24.0
2020-12-15 17:40:00,19.0
2020-12-15 17:41:00,26.0
2020-12-15 17:42:00,-1.0
2020-12-15 17:43:00,20.0
2020-12-15 17:44:00,25.0
2020-12-15 17:45:00,25.0
2020-12-15 17:46:00,13.0
2020-12-15 17:47:00,15.0
2020-12-15 17:48:00,19.0
2020-12-15 17:49:00,11.0
2020-12-15 17:50:00,20.0
2020-12-15 17:51:00,20.0
2020-12-15 17:52:00,22.0
2020-12-15 17:53:00,16.0
2020-12-15 17:54:00,15.0
2020-12-15 17:55:00,10.0
2020-12-15 17:56:00,16.0
2020-12-15 17:57:00,12.0
2020-12-15 17:58:00,21.0
2020-12-15 17:59:00,14.0
2020-12-15 18:00:00,13.0
2020-12-15 18:01:00,12.0
