stress_level_time,stress_level_value
2020-12-02 10:52:00,17.0
2020-12-02 10:53:00,13.0
2020-12-02 10:54:00,16.0
2020-12-02 10:55:00,31.0
2020-12-02 10:56:00,23.0
2020-12-02 10:57:00,23.0
2020-12-02 10:58:00,20.0
2020-12-02 10:59:00,-1.0
2020-12-02 11:00:00,-1.0
2020-12-02 11:01:00,23.0
2020-12-02 11:02:00,17.0
2020-12-02 11:03:00,19.0
2020-12-02 11:04:00,21.0
2020-12-02 11:05:00,22.0
2020-12-02 11:06:00,25.0
2020-12-02 11:07:00,17.0
2020-12-02 11:08:00,24.0
2020-12-02 11:09:00,19.0
2020-12-02 11:10:00,16.0
2020-12-02 11:11:00,20.0
2020-12-02 11:12:00,24.0
2020-12-02 11:13:00,20.0
2020-12-02 11:14:00,20.0
2020-12-02 11:15:00,22.0
2020-12-02 11:16:00,22.0
2020-12-02 11:17:00,18.0
2020-12-02 11:18:00,22.0
2020-12-02 11:19:00,18.0
2020-12-02 11:20:00,10.0
2020-12-02 11:21:00,6.0
2020-12-02 11:22:00,15.0
2020-12-02 11:23:00,19.0
2020-12-02 11:24:00,21.0
2020-12-02 11:25:00,9.0
2020-12-02 11:26:00,6.0
2020-12-02 11:27:00,15.0
2020-12-02 11:28:00,18.0
2020-12-02 11:29:00,22.0
2020-12-02 11:30:00,20.0
2020-12-02 11:31:00,15.0
2020-12-02 11:32:00,20.0
2020-12-02 11:33:00,25.0
2020-12-02 11:34:00,15.0
2020-12-02 11:35:00,8.0
2020-12-02 11:36:00,17.0
2020-12-02 11:37:00,13.0
2020-12-02 11:38:00,14.0
2020-12-02 11:39:00,8.0
2020-12-02 11:40:00,16.0
2020-12-02 11:41:00,11.0
2020-12-02 11:42:00,7.0
2020-12-02 11:43:00,12.0
2020-12-02 11:44:00,5.0
2020-12-02 11:45:00,9.0
2020-12-02 11:46:00,8.0
2020-12-02 11:47:00,15.0
2020-12-02 11:48:00,9.0
2020-12-02 11:49:00,8.0
2020-12-02 11:50:00,-2.0
2020-12-02 11:51:00,-1.0
2020-12-02 11:52:00,-1.0
2020-12-02 11:53:00,-1.0
2020-12-02 11:54:00,-1.0
2020-12-02 11:55:00,-1.0
2020-12-02 11:56:00,-1.0
2020-12-02 11:57:00,-1.0
2020-12-02 11:58:00,-1.0
2020-12-02 11:59:00,-1.0
2020-12-02 12:00:00,-1.0
2020-12-02 12:01:00,-1.0
2020-12-02 12:02:00,-1.0
