Lap 51	00:00:18.71	01:03:41.54
Lap 50	00:01:04.54	01:03:22.82
Lap 49	00:00:56.74	01:02:18.27
Lap 48	00:01:16.88	01:01:21.52
Lap 47	00:01:07.92	01:00:04.64
Lap 46	00:01:09.67	00:58:56.71
Lap 45	00:01:06.30	00:57:47.04
Lap 44	00:01:16.33	00:56:40.73
Lap 43	00:00:55.07	00:55:24.40
Lap 42	00:01:12.85	00:54:29.33
Lap 41	00:01:02.79	00:53:16.47
Lap 40	00:01:04.64	00:52:13.68
Lap 39	00:00:39.77	00:51:09.03
Lap 38	00:01:00.56	00:50:29.26
Lap 37	00:01:04.58	00:49:28.69
Lap 36	00:00:49.87	00:48:24.11
Lap 35	00:01:03.53	00:47:34.24
Lap 34	00:01:12.95	00:46:30.70
Lap 33	00:01:22.60	00:45:17.74
Lap 32	00:01:32.56	00:43:55.13
Lap 31	00:01:15.52	00:42:22.56
Lap 30	00:00:52.21	00:41:07.04
Lap 29	00:01:06.70	00:40:14.82
Lap 28	00:00:55.68	00:39:08.12
Lap 27	00:00:58.14	00:38:12.44
Lap 26	00:00:57.49	00:37:14.30
Lap 25	00:00:45.92	00:36:16.80
Lap 24	00:01:37.57	00:35:30.88
Lap 23	00:01:03.20	00:33:53.30
Lap 22	00:01:04.44	00:32:50.10
Lap 21	00:01:00.01	00:31:45.66
Lap 20	00:01:11.85	00:30:45.64
Lap 19	00:01:03.32	00:29:33.79
Lap 18	00:01:07.37	00:28:30.46
Lap 17	00:01:29.12	00:27:23.09
Lap 16	00:02:07.36	00:25:53.96
Lap 15	00:01:23.59	00:23:46.60
Lap 14	00:01:19.81	00:22:23.00
Lap 13	00:01:19.40	00:21:03.19
Lap 12	00:01:21.80	00:19:43.79
Lap 11	00:01:45.15	00:18:21.98
Lap 10	00:01:08.58	00:16:36.82
Lap 9	00:01:10.64	00:15:28.24
Lap 8	00:01:53.50	00:14:17.60
Lap 7	00:01:50.03	00:12:24.09
Lap 6	00:01:26.15	00:10:34.05
Lap 5	00:01:15.05	00:09:07.90
Lap 4	00:01:49.58	00:07:52.84
Lap 3	00:01:27.97	00:06:03.26
Lap 2	00:02:05.95	00:04:35.28
Lap 1	00:02:29.33	00:02:29.33
