Lap 51	00:00:06.08	00:50:25.43
Lap 50	00:00:42.06	00:50:19.34
Lap 49	00:00:39.48	00:49:37.27
Lap 48	00:00:34.97	00:48:57.79
Lap 47	00:00:38.00	00:48:22.82
Lap 46	00:00:49.85	00:47:44.82
Lap 45	00:00:58.48	00:46:54.96
Lap 44	00:00:57.84	00:45:56.48
Lap 43	00:01:15.07	00:44:58.63
Lap 42	00:00:56.72	00:43:43.56
Lap 41	00:00:51.97	00:42:46.83
Lap 40	00:00:42.63	00:41:54.86
Lap 39	00:00:56.10	00:41:12.23
Lap 38	00:00:46.96	00:40:16.12
Lap 37	00:01:02.13	00:39:29.16
Lap 36	00:01:11.66	00:38:27.02
Lap 35	00:00:42.70	00:37:15.36
Lap 34	00:01:06.04	00:36:32.65
Lap 33	00:00:56.70	00:35:26.61
Lap 32	00:01:14.59	00:34:29.90
Lap 31	00:00:45.44	00:33:15.31
Lap 30	00:00:57.04	00:32:29.86
Lap 29	00:01:06.41	00:31:32.82
Lap 28	00:00:50.13	00:30:26.41
Lap 27	00:00:51.95	00:29:36.27
Lap 26	00:00:39.98	00:28:44.32
Lap 25	00:00:50.01	00:28:04.33
Lap 24	00:01:00.15	00:27:14.32
Lap 23	00:00:57.62	00:26:14.17
Lap 22	00:00:44.06	00:25:16.55
Lap 21	00:01:10.76	00:24:32.49
Lap 20	00:01:20.05	00:23:21.72
Lap 19	00:00:49.27	00:22:01.67
Lap 18	00:00:52.07	00:21:12.40
Lap 17	00:01:00.44	00:20:20.32
Lap 16	00:01:06.33	00:19:19.87
Lap 15	00:01:35.96	00:18:13.54
Lap 14	00:01:05.39	00:16:37.58
Lap 13	00:01:01.87	00:15:32.19
Lap 12	00:01:10.12	00:14:30.31
Lap 11	00:00:53.57	00:13:20.19
Lap 10	00:01:17.50	00:12:26.62
Lap 9	00:01:13.48	00:11:09.11
Lap 8	00:01:39.43	00:09:55.63
Lap 7	00:01:28.54	00:08:16.19
Lap 6	00:01:23.55	00:06:47.65
Lap 5	00:00:52.83	00:05:24.09
Lap 4	00:01:13.54	00:04:31.25
Lap 3	00:01:23.55	00:03:17.71
Lap 2	00:01:05.54	00:01:54.15
Lap 1	00:00:48.61	00:00:48.61
