Lap 50	00:00:31.70	00:25:25.56
Lap 49	00:00:25.80	00:24:53.86
Lap 48	00:00:24.67	00:24:28.05
Lap 47	00:00:23.30	00:24:03.38
Lap 46	00:00:25.29	00:23:40.07
Lap 45	00:00:22.78	00:23:14.78
Lap 44	00:00:34.31	00:22:51.99
Lap 43	00:00:43.98	00:22:17.68
Lap 42	00:00:37.60	00:21:33.69
Lap 41	00:00:29.35	00:20:56.09
Lap 40	00:00:31.78	00:20:26.73
Lap 39	00:00:37.10	00:19:54.95
Lap 38	00:00:39.10	00:19:17.85
Lap 37	00:00:32.08	00:18:38.75
Lap 36	00:00:34.74	00:18:06.67
Lap 35	00:00:30.17	00:17:31.92
Lap 34	00:00:28.65	00:17:01.75
Lap 33	00:00:37.50	00:16:33.09
Lap 32	00:00:38.54	00:15:55.59
Lap 31	00:00:32.22	00:15:17.05
Lap 30	00:00:29.91	00:14:44.82
Lap 29	00:00:30.12	00:14:14.90
Lap 28	00:00:23.92	00:13:44.77
Lap 27	00:00:42.50	00:13:20.85
Lap 26	00:00:36.34	00:12:38.35
Lap 25	00:00:33.87	00:12:02.01
Lap 24	00:00:34.76	00:11:28.13
Lap 23	00:00:32.34	00:10:53.37
Lap 22	00:00:29.46	00:10:21.02
Lap 21	00:00:23.93	00:09:51.56
Lap 20	00:00:29.18	00:09:27.63
Lap 19	00:00:33.53	00:08:58.44
Lap 18	00:00:25.54	00:08:24.90
Lap 17	00:00:27.86	00:07:59.36
Lap 16	00:00:25.52	00:07:31.50
Lap 15	00:00:27.47	00:07:05.97
Lap 14	00:00:26.54	00:06:38.50
Lap 13	00:00:23.18	00:06:11.95
Lap 12	00:00:33.73	00:05:48.76
Lap 11	00:00:28.16	00:05:15.03
Lap 10	00:00:29.06	00:04:46.87
Lap 9	00:00:25.48	00:04:17.81
Lap 8	00:00:27.62	00:03:52.32
Lap 7	00:00:25.45	00:03:24.70
Lap 6	00:00:36.60	00:02:59.25
Lap 5	00:00:26.09	00:02:22.64
Lap 4	00:00:22.45	00:01:56.55
Lap 3	00:00:35.93	00:01:34.09
Lap 2	00:00:32.74	00:00:58.16
Lap 1	00:00:25.41	00:00:25.41
