Lap 51	00:00:04.67	00:48:56.61
Lap 50	00:00:25.21	00:48:51.94
Lap 49	00:00:42.48	00:48:26.72
Lap 48	00:00:32.63	00:47:44.24
Lap 47	00:01:01.62	00:47:11.60
Lap 46	00:00:56.20	00:46:09.98
Lap 45	00:01:15.13	00:45:13.77
Lap 44	00:00:44.85	00:43:58.64
Lap 43	00:00:47.11	00:43:13.78
Lap 42	00:00:57.89	00:42:26.67
Lap 41	00:00:56.26	00:41:28.77
Lap 40	00:00:50.81	00:40:32.51
Lap 39	00:00:33.40	00:39:41.70
Lap 38	00:01:16.45	00:39:08.29
Lap 37	00:00:40.52	00:37:51.83
Lap 36	00:01:14.47	00:37:11.30
Lap 35	00:01:05.76	00:35:56.83
Lap 34	00:00:47.93	00:34:51.07
Lap 33	00:01:03.05	00:34:03.13
Lap 32	00:00:39.83	00:33:00.08
Lap 31	00:00:51.91	00:32:20.24
Lap 30	00:01:43.63	00:31:28.33
Lap 29	00:00:32.77	00:29:44.70
Lap 28	00:00:40.91	00:29:11.93
Lap 27	00:01:12.55	00:28:31.01
Lap 26	00:00:55.72	00:27:18.46
Lap 25	00:01:04.45	00:26:22.74
Lap 24	00:01:04.34	00:25:18.28
Lap 23	00:02:24.87	00:24:13.94
Lap 22	00:00:59.99	00:21:49.06
Lap 21	00:01:01.42	00:20:49.07
Lap 20	00:00:52.14	00:19:47.64
Lap 19	00:00:51.28	00:18:55.50
Lap 18	00:01:02.63	00:18:04.21
Lap 17	00:00:52.19	00:17:01.58
Lap 16	00:00:49.00	00:16:09.38
Lap 15	00:00:38.70	00:15:20.37
Lap 14	00:00:41.26	00:14:41.67
Lap 13	00:00:54.80	00:14:00.41
Lap 12	00:01:35.04	00:13:05.60
Lap 11	00:01:08.55	00:11:30.55
Lap 10	00:01:02.65	00:10:22.00
Lap 9	00:00:37.09	00:09:19.34
Lap 8	00:01:03.47	00:08:42.25
Lap 7	00:00:46.48	00:07:38.78
Lap 6	00:01:26.07	00:06:52.29
Lap 5	00:01:03.80	00:05:26.21
Lap 4	00:00:35.83	00:04:22.41
Lap 3	00:01:10.12	00:03:46.57
Lap 2	00:01:16.23	00:02:36.45
Lap 1	00:01:20.21	00:01:20.21
