Lap 52	00:00:01.02	00:54:49.05
Lap 51	00:00:00.09	00:54:48.02
Lap 50	00:01:04.67	00:54:47.92
Lap 49	00:01:06.14	00:53:43.25
Lap 48	00:01:00.07	00:52:37.10
Lap 47	00:01:01.02	00:51:37.03
Lap 46	00:00:53.54	00:50:36.00
Lap 45	00:00:51.86	00:49:42.46
Lap 44	00:00:51.02	00:48:50.59
Lap 43	00:00:47.11	00:47:59.56
Lap 42	00:00:57.10	00:47:12.45
Lap 41	00:01:16.66	00:46:15.34
Lap 40	00:00:48.70	00:44:58.67
Lap 39	00:01:18.96	00:44:09.96
Lap 38	00:01:07.46	00:42:51.00
Lap 37	00:01:00.00	00:41:43.54
Lap 36	00:01:06.59	00:40:43.54
Lap 35	00:00:49.89	00:39:36.95
Lap 34	00:00:55.60	00:38:47.05
Lap 33	00:00:56.45	00:37:51.45
Lap 32	00:01:03.15	00:36:55.00
Lap 31	00:01:05.07	00:35:51.84
Lap 30	00:01:04.55	00:34:46.77
Lap 29	00:00:54.87	00:33:42.21
Lap 28	00:01:08.31	00:32:47.33
Lap 27	00:01:09.14	00:31:39.02
Lap 26	00:00:50.79	00:30:29.88
Lap 25	00:00:48.40	00:29:39.09
Lap 24	00:01:48.63	00:28:50.68
Lap 23	00:01:09.09	00:27:02.05
Lap 22	00:00:52.73	00:25:52.95
Lap 21	00:01:01.49	00:25:00.22
Lap 20	00:00:52.90	00:23:58.72
Lap 19	00:00:59.52	00:23:05.82
Lap 18	00:00:52.18	00:22:06.29
Lap 17	00:01:08.81	00:21:14.11
Lap 16	00:00:43.40	00:20:05.29
Lap 15	00:00:58.76	00:19:21.88
Lap 14	00:01:10.45	00:18:23.12
Lap 13	00:01:02.23	00:17:12.67
Lap 12	00:01:16.55	00:16:10.44
Lap 11	00:01:20.48	00:14:53.89
Lap 10	00:01:02.94	00:13:33.40
Lap 9	00:01:15.16	00:12:30.45
Lap 8	00:01:00.90	00:11:15.29
Lap 7	00:01:39.94	00:10:14.39
Lap 6	00:01:10.80	00:08:34.44
Lap 5	00:01:16.55	00:07:23.64
Lap 4	00:01:27.30	00:06:07.08
Lap 3	00:01:42.05	00:04:39.78
Lap 2	00:01:23.08	00:02:57.72
Lap 1	00:01:34.64	00:01:34.64
