heart_rate,label
63.0,1
66.0,2
66.0,3
66.0,4
67.0,5
67.0,6
67.0,7
67.0,8
68.0,9
70.0,10
70.0,11
70.0,12
68.0,13
65.0,14
64.0,15
64.0,16
64.0,17
65.0,18
65.0,19
64.0,20
70.0,21
65.0,22
63.0,23
63.0,24
66.0,25
67.0,26
67.0,27
68.0,28
66.0,29
66.0,30
72.0,31
70.0,32
70.0,33
71.0,34
71.0,35
67.0,36
68.0,37
68.0,38
65.0,39
66.0,40
69.0,41
69.0,42
68.0,43
68.0,44
66.0,45
66.0,46
66.0,47
73.0,48
78.0,49
78.0,50
