building_ID,heart_rate,stress_level_value,eda,temp,Theta,Alpha,BetaL,BetaH,Gamma,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
1,80,22,0.0279416359832636,29.3193,1.96818387258687,0.9045398483813479,0.6008387474012471,0.39511788788238794,0.42925748396198293,1,1,0,0,0,-1,-2,-1,-2,-2,0,0,0,0,0
2,80,21,0.0277483277310924,29.30175,2.0205116855654697,0.9867463299107142,0.541499424107142,0.29733685967261897,0.17435100193452302,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0
3,80,21,0.0277483277310924,29.30175,2.0205116855654697,0.9867463299107142,0.541499424107142,0.29733685967261897,0.17435100193452302,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
4,79,1,0.0290241129707113,29.28785,2.30291929598214,1.1029240578869,0.613406116964285,0.321821502529762,0.189922741964285,-1,0,-1,0,0,-1,-1,0,0,0,0,1,0,0,0
5,78,17,0.0288851487603305,29.2742833333333,2.59823707857142,0.93701894360119,0.542022618898809,0.30441823824404696,0.181087151636904,-1,0,-1,-1,-1,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2
6,77,19,0.0290781239669421,29.2625333333333,2.41397865117315,1.05998309890109,0.568273394416394,0.319806961241461,0.21542770968220898,0,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
7,77,19,0.0290781239669421,29.2625333333333,2.41397865117315,1.05998309890109,0.568273394416394,0.319806961241461,0.21542770968220898,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,77,15,0.0290370209205021,29.2433333333333,2.2468634282738,1.1228423409226103,0.648454073809523,0.382040485863095,0.31903907633928497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,76,13,0.0285246234309623,29.2217499999999,2.52474516502976,0.9693720406249989,0.569086979315476,0.36168723943452297,0.328907488392857,1,1,1,1,2,1,1,0,0,0,0,1,0,1,1
10,76,13,0.0285246234309623,29.2217499999999,2.52474516502976,0.9693720406249989,0.569086979315476,0.36168723943452297,0.328907488392857,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0
11,75,15,0.0286675541666666,29.2018813559321,2.54401534407484,1.08357527413127,0.646491031779031,0.399474918621918,0.275543734184734,0,0,0,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-2
12,75,15,0.0286675541666666,29.2018813559321,2.54401534407484,1.08357527413127,0.646491031779031,0.399474918621918,0.275543734184734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,74,18,0.0292870916666666,29.1822166666666,2.25334022961309,1.0323962953869,0.621414139434523,0.44285403154761893,0.319659576190476,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,0,0
14,74,18,0.0292870916666666,29.1822166666666,2.25334022961309,1.0323962953869,0.621414139434523,0.44285403154761893,0.319659576190476,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
15,75,10,0.0298528630705394,29.155066666666603,1.82749807633928,0.9828942501488092,0.587578981696428,0.35734085639880897,0.232414632291666,0,0,0,1,1,0,0,0,0,0,0,1,0,0,-1
16,74,11,0.02946495,29.1340833333333,1.7965395108630902,0.891007271428571,0.5783506998511899,0.38721941517857106,0.25588199330357103,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
17,74,16,0.0299101369294605,29.113163934426197,1.8049598097713,0.9543852889812892,0.558605515444015,0.3869583936738929,0.242799568161568,-2,-2,-1,0,0,-2,-2,-2,-2,-2,-1,0,-1,-2,-2
18,74,16,0.0299101369294605,29.113163934426197,1.8049598097713,0.9543852889812892,0.558605515444015,0.3869583936738929,0.242799568161568,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0
19,74,13,0.0304627083333333,29.078816666666604,1.88576143630952,0.874816927083333,0.653149630803571,0.4894709477678571,0.451994574107142,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1
20,74,13,0.0304627083333333,29.078816666666604,1.88576143630952,0.874816927083333,0.653149630803571,0.4894709477678571,0.451994574107142,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
21,74,11,0.0305274333333333,29.0338,1.89580030907738,0.863994144196428,0.5843881053571421,0.481380574107142,0.381659508630952,0,0,0,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2
22,74,9,0.0296047749999999,29.0104499999999,4.25244701559251,1.17668032462132,1.00841437540837,0.47391111389961293,0.34694507231957206,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1
23,74,9,0.0296047749999999,29.0104499999999,4.25244701559251,1.17668032462132,1.00841437540837,0.47391111389961293,0.34694507231957206,0,1,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0
24,73,6,0.030244075,28.9308,3.6367621630531604,1.05962155256905,0.620296197356697,0.39324933471933404,0.295047351351351,0,1,1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0
25,73,6,0.030244075,28.9308,3.6367621630531604,1.05962155256905,0.620296197356697,0.39324933471933404,0.295047351351351,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
26,73,5,0.0301682166666666,28.8740999999999,2.7282328720238103,0.8626107104166658,0.540086120982142,0.315145557589285,0.197129656398809,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2
27,73,5,0.0301682166666666,28.8740999999999,2.7282328720238103,0.8626107104166658,0.540086120982142,0.315145557589285,0.197129656398809,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
28,75,1,0.0301047291666666,28.7913,1.59513553258928,0.8046887376488091,0.5757842508928571,0.337473367113095,0.240267758928571,-1,-1,-1,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2
29,75,1,0.0308533430962343,28.7043833333332,2.3504769313988,0.95192709077381,0.629409473809523,0.460574835863095,0.394610412648809,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
30,75,1,0.0160390882352941,28.1356833333333,2.8933958944163902,1.04032194282744,0.7414241909711898,0.654319802791802,0.8512877845262841,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,75,1,0.000863829166666666,27.235216666666602,2.367623,1.0879152755102,0.490786153061224,0.5873842346938771,0.541256020408163,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
32,75,1,0.0015098429752066099,26.804916666666603,3.1020721547619,1.2153281751700602,0.742912301020408,0.425658139455782,0.24552046485260698,0,1,0,1,1,0,-1,-1,0,0,-1,1,-1,1,0
33,75,1,0.0015098429752066099,26.804916666666603,3.1020721547619,1.2153281751700602,0.742912301020408,0.425658139455782,0.24552046485260698,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-2,-2
34,75,1,0.0013051410788381698,26.261866666666602,3.47137046770833,1.50145889255952,0.675644906547619,0.43132283244047603,0.305170930059523,-2,0,-1,-2,-2,-1,-1,-1,-1,-1,-2,-2,0,-2,-2
35,75,1,0.000674372384937239,25.606916666666603,2.7978080839025803,0.960731573210573,0.617958676715176,0.38969667448767403,0.28141702376002303,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-1,-2,-2
36,76,18,-2.7975e-05,25.031183333333303,2.7636950647321403,0.99860348720238,0.589405488988095,0.33883037916666603,0.22802750119047602,0,0,0,1,1,0,-1,-1,0,0,0,1,-1,0,0
37,75,10,0.000449307053941908,24.419491525423698,3.77318562991071,1.30407020297619,0.7172633985119051,0.41164367708333294,0.290897342261904,0,1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1
38,75,10,0.000449307053941908,24.419491525423698,3.77318562991071,1.30407020297619,0.7172633985119051,0.41164367708333294,0.290897342261904,0,1,0,0,1,0,0,-1,0,0,0,1,0,0,0
39,73,8,-5.70583333333332e-05,23.3620499999999,2.73742022972973,0.891004813483813,0.44653709177309103,0.270296541134541,0.168795966884466,-2,-2,-2,-2,-1,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2
40,73,8,-5.70583333333332e-05,23.3620499999999,2.73742022972973,0.891004813483813,0.44653709177309103,0.270296541134541,0.168795966884466,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1
41,73,7,-2.1267782426778303e-05,22.9741803278688,2.24620596651785,0.9821387803571421,0.571023935565476,0.332554153571428,0.232318237648809,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1
