building_ID,heart_rate,stress_level_value,eda,temp,Theta,Alpha,BetaL,BetaH,Gamma,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
1,75,0,0.0439874374999999,30.1851499999999,8.2244491985119,2.84895164955357,1.21661711651785,0.980363747767856,1.28352503065476,0,1,-1,-1,-1,-2,-2,0,1,1,-1,-1,-1,-1,-2
2,75,0,0.0411822166666666,30.1624833333333,3.47969495416666,1.07316493690476,0.708567595238095,0.732094203422619,0.825315920386904,1,1,0,2,1,-1,-1,0,0,1,0,1,0,1,0
3,83,3,0.0452347583333333,30.2950833333333,2.58702080818452,1.16920607127976,1.09238391428571,1.09115299925595,1.27484074747023,-1,-1,-1,1,1,-1,-1,0,0,0,1,0,-1,-1,-1
4,82,19,0.0487926125,30.4055333333333,4.99403084880952,1.75463216636904,1.29570483139881,1.56041080595238,1.86877651711309,-1,2,0,1,1,0,0,2,2,2,-1,0,0,-1,-1
5,86,-1,0.0522175875,30.5694499999999,12.0772214922619,3.07924633705357,1.46453639747023,1.09414109910714,1.365584746875,-2,-1,-1,0,0,-2,-2,-2,-1,-1,-1,-1,0,-1,-1
6,89,34,0.0504817791666666,30.5751666666667,7.29585287872024,3.33206041502976,2.94190195252976,1.82604346473214,1.641127471875,-1,0,-1,0,1,0,0,0,1,1,-2,0,0,-2,-2
7,86,14,0.0418556458333333,30.3574166666666,4.60656105286605,1.78959851173151,1.35970156697356,2.09238367953668,3.08219775081675,-1,0,0,0,1,1,0,1,1,1,-1,0,0,-1,-1
8,80,19,0.0421852583333333,30.2281166666666,6.99928443422618,2.41599747336309,1.5417630797619,1.52661688779761,1.70335170684523,0,0,0,0,1,-1,-1,0,0,0,-1,0,-1,-1,-1
9,90,17,0.0419350416666666,30.1088999999999,9.7809718828869,1.44665747425595,1.3048088610119,0.913856368452381,0.890212714434524,-1,1,-1,1,1,1,0,2,2,2,-1,0,0,0,0
10,83,13,0.04118755,29.9598166666666,14.9507507556547,2.85088299836309,1.43387714047619,1.38600164032738,1.29855047068452,2,0,1,1,1,-1,0,0,0,0,1,0,-1,0,1
11,84,20,0.0337414875,29.6755666666666,20.6102050370535,7.29325787946428,3.30227833318452,2.61236191994047,2.89174676056547,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
12,84,16,0.03153945,29.5559166666666,101.959901506101,5.61757696636904,4.38803450863095,1.99591979419642,2.16149556741071,-1,-1,-1,0,0,-1,-1,0,0,0,-1,0,-1,-1,-1
13,83,16,0.0335577625,29.50855,11.5271319104544,2.02357305717255,1.23837068369468,1.36902171473121,1.77624989560439,0,1,-1,0,0,1,1,1,0,0,-1,0,0,0,-1
14,85,21,0.0357124583333333,29.4484166666666,15.0607311620535,2.16983491473214,1.44357499122023,1.72740365178571,1.79593976324404,-1,1,-1,1,1,1,1,1,1,1,-1,0,1,-1,-1
15,89,33,0.0350111249999999,29.3755333333333,6.93546191800595,3.59121300401785,3.26705339940476,2.68461432797619,3.27054720610119,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
16,94,-1,0.0346875,29.3103166666666,4.281090153125,1.33824467842261,1.17019674315476,1.75288734508928,2.13154286830357,0,1,1,1,1,1,1,1,1,1,0,1,0,-1,0
17,91,19,0.0380514041666666,29.2253166666666,24.9512086180576,9.86603351306801,9.79145187615087,5.92254024250074,6.08312609162459,-1,1,-1,-1,0,-1,-1,0,0,0,0,0,-1,-1,-1
18,88,-1,0.0369717249999999,29.1218499999999,3.46346549360119,1.61308979404761,1.41792664687499,1.79979318377976,2.35299842812499,0,0,0,0,1,0,-1,0,0,1,-1,0,-1,0,0
19,87,18,0.0356211666666666,29.0314333333333,245.242565254315,36.495810359375,18.5040482687499,5.86163458928571,3.98791381309523,0,-1,-1,1,1,1,1,1,0,0,1,1,1,1,0
