Theta,Alpha,BetaL,BetaH,Gamma,label
2.432824690029762,1.6181891522321423,1.234841488541667,0.8725377163690471,0.5378893430059523,1
2.376601984375,1.6392182598214289,1.229534011904762,0.7832618806547621,0.4882728248511906,2
1.9201250571725568,1.3435371624591623,0.8715229383724382,0.7886482130977128,0.4162480124740123,3
2.098341712949213,1.4408955709830713,1.1111116465696471,0.7558876517671518,0.4650295109890109,4
2.098341712949213,1.4408955709830713,1.1111116465696471,0.7558876517671518,0.4650295109890109,5
2.3386328172619053,1.8227455388392857,1.4146659599702378,0.957011605059524,0.6101440361607141,6
2.3386328172619053,1.8227455388392857,1.4146659599702378,0.957011605059524,0.6101440361607141,7
2.2999704735119044,1.7949308797619046,1.3062322056547615,0.8077699955357142,0.5333900517857144,8
2.3196494964285708,1.7332262983630948,1.1077741514880954,0.6673262303571429,0.4264676732142857,9
2.4688569089694083,1.4536979909414909,0.9048729135729136,0.6323329591624592,0.3994216308286309,10
2.4688569089694083,1.4536979909414909,0.9048729135729136,0.6323329591624592,0.3994216308286309,11
1.9937336177083336,1.3910291186011905,0.9489558363095236,0.5302676123511906,0.3619886052083335,12
2.0957365322916672,1.1794020962797622,0.7747565433035712,0.5353276787202381,0.3516077498511905,13
1.854348467775468,1.3177755724680726,0.8737973757053759,0.56569646005346,0.3604851651321652,14
1.854348467775468,1.3177755724680726,0.8737973757053759,0.56569646005346,0.3604851651321652,15
2.5344300318452384,1.452445517410714,0.973849038690476,0.7271623126488096,0.462269815625,16
1.805419663690476,1.3151100038690478,0.9082370163690479,0.5882364044642857,0.3774637677083333,17
1.805419663690476,1.3151100038690478,0.9082370163690479,0.5882364044642857,0.3774637677083333,18
1.9786108706845242,1.4367242242559524,0.9386047239583328,0.6488433196428571,0.4513005894345238,19
2.3718081346896343,1.5807068798633799,2.8669805996436,1.0410424138699137,0.7617578623403622,20
1.7559701333333335,1.3024467373511908,1.0710960412202382,0.7763626156250002,0.5728646577380953,21
2.2854459278273813,1.4066943342261904,1.0531420583333333,0.7705120245535709,0.5875394773809525,22
1.91460202827381,1.3135453837797617,0.8797094141369051,0.6759816718749999,0.4469734422619048,23
1.6740506346896349,1.3348489325809323,0.7980913901098904,0.5036385899910899,0.3624415040095038,24
1.6740506346896349,1.3348489325809323,0.7980913901098904,0.5036385899910899,0.3624415040095038,25
1.5654649401785716,1.3607480852678573,0.841296807142857,0.5056380308035713,0.3317366430059523,26
3.5939761616071437,2.2324258669642862,1.6584502159226189,0.8169024979166662,0.5425381700892858,27
3.5939761616071437,2.2324258669642862,1.6584502159226189,0.8169024979166662,0.5425381700892858,28
1.888284067567567,1.2066879002079005,0.8137400957825959,0.5026596058806058,0.3125198950103951,29
1.888284067567567,1.2066879002079005,0.8137400957825959,0.5026596058806058,0.3125198950103951,30
1.7525681400297621,1.4651197450892854,0.8803362188988094,0.5971276796130953,0.4200540031249999,31
8.84759857247023,2.6142715994047605,1.633639551636905,0.9137951970238096,0.5502724111607145,32
1.809477963690476,1.3750416331845237,0.8268860891369049,0.5886956776785714,0.4081080175595237,33
2.18757308048708,1.542733362785863,0.8665721384021383,0.5483426955746956,0.3589482640332641,34
2.18757308048708,1.542733362785863,0.8665721384021383,0.5483426955746956,0.3589482640332641,35
1.892189195833334,1.404181454017857,0.8668208879464284,0.5359322370535714,0.31853483705357144,36
2.017797295386905,1.5509800345238094,0.8599125717261905,0.5578588319940475,0.35651714002976204,37
2.017797295386905,1.5509800345238094,0.8599125717261905,0.5578588319940475,0.35651714002976204,38
3.2689936023809536,1.897185172767857,1.1553924456845241,0.7513639404761905,0.6153160879464286,39
1.6700179814374816,1.1597438200178196,0.6667667628452628,0.4678222953667954,0.28280601603801603,40
1.6700179814374816,1.1597438200178196,0.6667667628452628,0.4678222953667954,0.28280601603801603,41
1.5050029877976183,1.0244004444940475,0.6620092058035716,0.48612571279761896,0.2830681767857143,42
1.567026341220238,1.2206601955357141,0.6884767437500001,0.5109234214285714,0.29170712738095234,43
1.6807211023166029,1.1539380412830416,0.6973392353727353,0.5471655482625484,0.3029302591327592,44
1.674201263095238,1.102649288988095,0.780616401041667,0.5336372096726189,0.3262922220238095,45
1.674201263095238,1.102649288988095,0.780616401041667,0.5336372096726189,0.3262922220238095,46
1.5957783694940475,1.1751500641369048,0.8046722247023811,0.5898768891369046,0.36110653333333337,47
1.5957783694940475,1.1751500641369048,0.8046722247023811,0.5898768891369046,0.36110653333333337,48
4.774456807142856,0.9837255499999998,0.8252929499999999,0.7525789357142856,0.4287004857142857,49
4.774456807142856,0.9837255499999998,0.8252929499999999,0.7525789357142856,0.4287004857142857,50
